X,Y,name,lat,lon,avgReview,numReview,category,num
0.59531,0.75191,Morning Glory Cafe,33.390792,-112.012504,4,116,Breakfast & Brunch,0
0.84802,0.55873,Spinato's Pizzeria,33.3056067,-111.9787576,4,102,Italian,1
0.10484,0.77004,Haji-Baba,33.414345,-111.913031,4.5,265,etc,2
0.876,0.3807,Chaparral Dog Park,33.52294465,-111.9078863,4.5,88,Arts & Entertainment,3
0.03846,0.60769,Quiessence Restaurant,33.390792,-112.012504,3.5,109,Nightlife,4
0.01373,0.80983,La Condesa Gourmet Taco Shop,33.4691316,-112.0475116,4,307,Mexican,5
0.14928,0.38909,Phoenix Sky Harbor International Airport,33.43475,-112.00644,3,862,Hotels & Travel,6
0.24123,0.73894,Stingray Sushi,33.5096045,-112.0257401,3,163,Asian,7
0.05437,0.77455,Nobuo At Teeter House,33.4495394,-112.0656645,4.5,189,Asian,8
0.38026,0.47833,Lee's Sandwiches,33.334712,-111.87479,4,192,etc,9
0.34088,0.7637,Rosie McCaffrey's,33.509517,-112.061566,4,151,Nightlife,10
0.6213,0.3748,1130 The Restaurant,33.4527955,-112.0693177,3,86,American,11
0.00533,0.78364,Carlsbad Tavern,33.4869182,-111.908738,4,262,Nightlife,12
0.00649,0.86897,AZ 88,33.492335,-111.9236549,4,299,Nightlife,13
0.69363,0.54881,Mary Coyle's Ol' Fashioned Ice Cream and Yogurt Parlor,33.5174282,-112.0823075,3.5,100,Asian,14
0.01006,0.89562,True Food Kitchen,33.5102068,-112.0272041,4,434,American,15
0.86139,0.41675,Thai Lahna Restaurant,33.4951558,-112.0010198,3.5,101,Asian,16
0.91611,0.16929,Sylvia's La Canasta Mexican Restaurant,33.5168513,-112.0824552,3,80,Mexican,17
0.90425,0.30306,BJ's Restaurant & Brewhouse,33.678615,-111.9746066,3.5,79,Asian,18
0.00002,0.92077,Cibo,33.4548476,-112.0800705,4.5,594,Italian,19
0.20065,0.55477,Salt Cellar,33.4542695,-111.9094198,3.5,147,American,20
0.96956,0.22574,Wildflower Bread Company,33.6275125,-111.8954112,4,71,Breakfast & Brunch,21
0.98803,0.21846,Touch Of Thai,33.6382871,-112.134828,4,85,Asian,22
0.85051,0.20845,Cold Beers & Cheeseburgers,33.6765685,-111.9246769,3,70,American,23
0.82722,0.40898,Frances,33.509656,-112.07454,4,90,etc,24
0.87519,0.50832,Lee's Cream Liqueur,33.499318,-111.927164,4.5,95,Asian,25
0.06517,0.80319,Lux,33.5005719,-112.0741143,4,461,Asian,26
0.49402,0.84104,The Coffee Shop,33.321864,-111.726244,4,165,Asian,27
0.00924,0.78993,The Herb Box,33.499504,-111.927891,4,236,American,28
0.01943,0.80538,La Grande Orange Pizzeria,33.5024095,-111.9955012,4.5,292,Italian,29
0.22516,0.69557,Teharu Sushi,33.3216034,-111.9626175,3.5,196,Asian,30
0.00084,0.78726,Lo-Lo's Chicken & Waffles,33.4354553,-112.0739136,4.5,450,etc,31
0.82234,0.56892,Vintage 95,33.302011,-111.842615,4.5,71,Nightlife,32
0.00184,0.97774,Maizie's Cafe & Bistro,33.5071469,-112.0744706,4,258,American,33
0.90733,0.47117,Alessia's Ristorante Italiano,33.4373518,-111.7181797,4.5,61,American,34
0.33776,0.44333,Jimmy Buffett's Margaritaville,33.531725,-112.261226,2.5,112,Nightlife,35
0.08651,0.93457,Kazimierz World Wine Bar,33.4995106,-111.9272212,4,245,Nightlife,36
0.82626,0.21675,Twin Peaks,33.629168,-111.89157,3,76,Nightlife,37
0.74984,0.80243,Noodles Ranch,33.4787939,-111.9259092,4,144,Asian,38
0.36109,0.54299,La Piccola Cucina,33.472674,-112.064752,3.5,104,American,39
0.82116,0.22793,Buffalo Exchange,33.4219332,-111.9431045,3,70,etc,40
0.94955,0.46759,The Good Egg,33.511391,-112.069119,3,69,Breakfast & Brunch,41
0.00039,0.94901,The Arrogant Butcher,33.4471735,-112.073781,4,321,American,42
0.03541,0.72736,Yard House,33.534203,-112.2618153,4,200,Vegetarian,43
0.63961,0.26984,Arizona Exposition & State Fair,33.4462721,-112.0893682,3,62,Arts & Entertainment,44
0.02995,0.79281,Green,33.4537869,-111.927166,4.5,477,Vegetarian,45
0.00379,0.94403,Rokerij,33.530335,-112.047101,4,272,Mexican,46
0.25506,0.69052,Clarendon Hotel,33.49112,-112.079081,3.5,197,Hotels & Travel,47
0.00237,0.76386,Coup Des Tartes,33.5044193,-112.0475633,4,177,etc,48
0.00377,0.91398,Mastro's City Hall Steakhouse,33.50201,-111.9313599,4.5,276,American,49
0.00262,0.89094,Cornish Pasty Company,33.362719,-111.8761389,4.5,333,etc,50
0.92872,0.43833,Cartel Coffee Lab,33.4982894,-111.9275491,4.5,79,Asian,51
0.00138,0.89264,Fuego Bistro,33.5218465,-112.0648577,4,258,etc,52
0.81699,0.36919,Monkey Pants Bar & Grill,33.3941258,-111.9394645,3.5,77,Nightlife,53
0.08255,0.86336,Don & Charlie's,33.501821,-111.919938,4,183,American,54
0.99729,0.23473,Desert Jade,33.4951447,-112.0118398,4,69,Asian,55
0.73193,0.43167,Big Earl's BBQ,33.4939313,-111.9256266,3.5,98,American,56
0.88364,0.77892,Kyoto Japanese Restaurant,33.500238,-111.926921,3.5,112,Asian,57
0.0105,0.83773,Pappadeaux Seafood Kitchen,33.5879473,-112.1164668,4,271,American,58
0.95189,0.48542,Kampai,33.6399519,-112.0191651,3.5,54,etc,59
0.67097,0.41249,Asian Cafe Express,33.413324,-111.873436,4,120,Asian,60
0.87175,0.29444,Rainforest Cafe,33.383123,-111.964485,2.5,76,American,61
0.0719,0.61133,Aiello's,33.51315,-112.073765,4,125,American,62
0.00003,0.84291,The Mission,33.4922985,-111.9245517,4,441,etc,63
0.68986,0.08621,Frank & Albert's,33.5160662,-112.029562,3.5,73,American,64
0.53037,0.50944,SOL Mexican Cocina,33.6177796,-111.9258843,3.5,97,Mexican,65
0.00435,0.81533,Bobby Q,33.5612589,-112.1156244,4.5,363,American,66
0.01567,0.84004,RnR,33.4915779,-111.925841,3.5,264,Breakfast & Brunch,67
0.33306,0.65005,Moto Sushi,33.5369963,-112.0474809,3.5,139,Asian,68
0.99197,0.34828,Athenian Express,33.4574932,-112.0740241,3.5,61,Italian,69
0.47006,0.50435,Pita Jungle,33.6749989,-111.9776027,4,145,Vegetarian,70
0.88652,0.20507,Wildflower Bread Company,33.362444,-111.912417,4,84,Breakfast & Brunch,71
0.33118,0.74261,Luci's Healthy Marketplace,33.5239431,-112.0478898,3.5,155,etc,72
0.47455,0.49866,Breakfast Joynt,33.620562,-111.8963279,3.5,142,Breakfast & Brunch,73
0.76857,0.28654,Los Dos Molinos,33.448717,-112.059954,3.5,80,Mexican,74
0.54268,0.69913,Iruna,33.4920804,-111.9255527,3.5,95,etc,75
0.07388,0.71024,Malee's Thai Bistro,33.492962,-111.927751,4,243,Asian,76
0.96389,0.34841,Yogurtology,33.4941704,-111.9260519,4,72,Asian,77
0.85275,0.34511,Carolina's Mexican Food,33.597213,-112.03605,4,147,Mexican,78
0.35201,0.54886,Desert Botanical Garden,33.4608045,-111.9477654,4.5,262,Arts & Entertainment,79
0.97627,0.36722,India Palace,33.6397237,-112.1223355,3.5,74,etc,80
0.98662,0.27633,Tacos De Juarez,33.4594331,-112.0650431,4,52,Mexican,81
0.03529,0.78995,Casey Moore's Oyster House,33.420571,-111.942444,4,317,Nightlife,82
0.80607,0.19661,Marcella's Italian Kitchen,33.5025941,-111.9296765,3,58,American,83
0.87167,0.30455,Tradiciones,33.4596905,-112.0462108,3.5,57,Mexican,84
0.02404,0.7876,Mellow Mushroom,33.7129847,-112.1114555,3.5,219,Italian,85
0.00777,0.81406,SanTan Brewing Company,33.303233,-111.842532,4,283,Asian,86
0.3699,0.45962,Two Hippies Magic Mushroom Burgers,33.495024,-112.063756,3.5,122,American,87
0.011,0.88321,Liberty Market,33.3547012,-111.7897898,4.5,390,Asian,88
0.7367,0.07851,T. Roosevelt's Tavern,33.4960515,-111.9302928,4,64,Nightlife,89
0.98654,0.33426,The Farm Kitchen,33.390792,-112.012504,4,52,Breakfast & Brunch,90
0.50731,0.17266,Dave & Buster's,33.4329724,-111.9043028,3.5,88,Arts & Entertainment,91
0.02141,0.86067,Joe's Farm Grill,33.32106164,-111.7239189,4,525,American,92
0.10474,0.61301,Havana Caf,33.5092093,-111.9885861,3.5,147,etc,93
0.65716,0.50204,Tempe Marketplace,33.4329724,-111.9043028,3.5,117,Asian,94
0.0083,0.62111,Lucille's Smokehouse Bar-B-Que,33.4366655,-111.9403254,3,178,etc,95
