X,Y,numReview,avgReview,num,age,sex,job,zip,lat,lon,
0.61236,0.5205,272,3.6103,0,24,M,technician,85711,32.214,-110.884,
0.058807,0.49899,62,3.7097,1,53,F,other,94043,37.189,-121.705,
0.017277,0.48663,54,2.7963,2,23,M,writer,32067,29.956,-81.815,
0.027146,0.49256,24,4.3333,3,24,M,technician,43537,41.571,-83.685,
0.3241,0.54986,175,2.8743,4,33,F,other,15213,40.423,-79.981,
0.49053,0.14726,211,3.6351,5,42,M,executive,98101,47.432,-121.803,
0.91539,0.28639,403,3.9653,6,57,M,administrator,91344,33.787,-118.299,
0.19486,0.52723,59,3.7966,7,36,M,administrator,5201,42.934,-73.105,
0.050044,0.44612,22,4.2727,8,29,M,student,1002,42.367,-72.465,
0.49933,0.17436,184,4.2065,9,53,M,lawyer,90703,33.867,-118.069,
0.35472,0.47764,181,3.4641,10,39,F,other,30329,33.827,-84.325,
0.20745,0.48564,51,4.3922,11,28,F,other,6405,41.285,-72.796,
0.86422,0.39051,636,3.0975,12,47,M,educator,29206,34.03,-80.951,
0.27347,0.38103,98,4.0918,13,45,M,scientist,55106,44.957,-93.042,
0.077136,0.56911,104,2.875,14,49,F,educator,97301,44.905,-122.922,
0.48267,0.46059,140,4.3286,15,21,M,entertainment,10309,40.532,-74.219,
0.043019,0.49058,28,3.0357,16,30,M,programmer,6355,41.485,-72.001,
0.65805,0.093368,277,3.8809,17,35,F,other,37212,36.133,-86.804,
0.047082,0.46002,20,3.55,18,40,M,librarian,2138,42.38,-71.133,
0.12744,0.53425,48,3.1042,19,42,F,homemaker,95660,38.667,-121.388,
0.13704,0.56987,179,2.6704,20,26,M,writer,30068,33.971,-84.446,
0.32275,0.56768,128,3.3516,21,25,M,writer,40206,38.25,-85.703,
0.40386,0.41639,151,3.6358,22,30,F,artist,48197,42.202,-83.62,
0.21887,0.48762,68,4.3235,23,21,F,artist,94533,38.278,-122.02,
0.249,0.43032,78,4.0513,24,39,M,engineer,55107,44.932,-93.088,
0.10858,0.62758,107,2.9439,25,49,M,engineer,21044,39.206,-76.888,
0.036101,0.49676,25,3.24,26,40,F,librarian,30030,33.773,-84.292,
0.2174,0.52004,79,3.7215,27,32,M,writer,55369,45.128,-93.459,
0.041957,0.44849,34,3.6471,28,41,M,programmer,94043,37.189,-121.705,
0.081767,0.49891,43,3.7674,29,7,M,student,55436,44.901,-93.423,
0.057523,0.38646,36,3.9167,30,24,M,artist,10003,40.73,-73.989,
0.065627,0.55957,41,3.3171,31,28,F,student,78741,30.231,-97.715,
0.005592,0.50477,24,3.7083,32,23,M,student,27510,35.905,-79.09,
