X,Y,title,numReview,avgReview,useful_count,funny_count,cool_count,index
0.86899,0.29767,wife,3778,3.814187401,5452,2434,2933,0
0.99164,0.99063,took,8791,3.436469116,18215,9222,11580,1
0.65121,0.13588,birthday,2622,3.847444699,4899,2371,3143,2
0.09791,0.15444,breakfast,6744,3.911328588,11751,5656,7646,3
0.99902,0.82828,excellent,8583,4.211697542,12397,4955,7844,4
0.13627,0.35265,weather,1590,4.03081761,3254,1522,2325,5
0.99874,0.93948,perfectly,12746,4.281343166,25637,12310,18025,6
0.99749,0.99951,made,14150,3.798374558,30734,16234,20836,7
0.76473,0.99853,sitting,9083,3.657602114,18167,9432,11802,8
0.43439,0.94666,outside,7855,3.820751114,14652,7465,9912,9
0.04003,0.00443,ground,1395,3.755555556,2777,1508,1936,10
0.91691,0.88105,absolute,4961,4.036081435,8962,4260,5656,11
0.25254,0.01805,pleasure,698,4.157593123,1782,1015,1325,12
0.63834,0.72676,waitress,5812,3.255333792,10035,5097,5753,13
0.99983,0.99043,food,56596,3.767262704,85028,39706,52259,14
0.94837,0.77753,arrived,5236,3.385981665,12030,6116,7525,15
0.81816,0.84505,quick,6939,3.786280444,12893,6356,8594,16
0.02677,0.18356,morning,3008,3.876662234,6526,3761,4585,17
0.93789,0.99986,looking,20601,3.635066259,42089,23201,27752,18
0.99471,1,like,44908,3.682795938,86249,48092,57947,19
0.96417,0.99999,place,60717,3.829899369,97197,47408,62019,20
0.83532,0.77257,filled,5425,3.857142857,11526,6106,8038,21
0.90277,0.99997,pretty,17985,3.610453155,33186,17677,21937,22
0.2413,0.01443,earlier,881,3.602724177,2006,1016,1264,23
0.87232,1,get,38461,3.736720314,72628,39578,47789,24
0.1165,0.06591,favor,766,3.711488251,1678,936,1084,25
0.21782,0.1056,bloody,740,3.883783784,1345,703,902,26
0.45574,0.01787,phenomenal,991,4.404641776,1856,873,1232,27
0.59016,0.49233,simply,2290,3.799563319,5079,2682,3306,28
0.99788,0.99908,best,22018,4.143518939,35925,17129,23539,29
0.99349,0.99985,ever,12546,3.908815559,24408,13597,16092,30
0.99627,1,sure,13087,3.75594101,26644,14523,17899,31
0.70346,0.94117,used,10717,3.592609872,22162,11990,14331,32
0.44993,0.33779,ingredients,3963,3.909412062,8229,3981,5526,33
0.12561,0.10076,garden,1106,4.053345389,2279,1145,1677,34
0.11815,0.15134,blend,1002,4.045908184,2137,1109,1500,35
0.90305,0.55847,freshly,14322,4.087138668,26630,12269,17859,36
0.99998,0.99813,ordered,31986,3.610517101,59871,29501,37756,37
0.99746,0.9914,everything,11844,4.02710233,22044,10953,14708,38
0.99984,0.97955,menu,20940,3.840162369,38997,18123,25543,39
0.71238,0.35617,white,4342,3.849378167,10328,5796,7267,40
0.51247,0.00186,truffle,654,4.160550459,1243,497,787,41
0.01044,0.12922,scramble,813,3.84501845,1842,892,1259,42
0.2281,0.35066,egg,5317,3.813240549,10494,5398,7087,43
0.6731,0.07426,vegetables,2195,3.828701595,4492,2046,2963,44
0.99764,0.99436,tasty,10827,3.911425141,19541,9574,13445,45
0.99982,0.99569,delicious,17365,4.243881371,29571,13817,20216,46
1,0.99825,came,14534,3.475849732,28931,14413,18255,47
0.94279,0.52238,piece,4018,3.56222001,9076,4774,5887,48
0.80302,0.33859,bread,8806,3.843061549,17807,8675,11933,49
0.99471,0.9951,amazing,13979,4.337506259,22589,10322,15065,50
0.99928,0.79522,meal,13761,3.779739844,26145,12068,16574,51
